domain,length,entropy,label
lth3hco=b814QwX6qDwRIspi.XOuKfgQvfkiD58sYQko4wHV7.9GV4rfZ3L0QpVPgWAJF9.botnet.xyz,81,5.493809,1
Hpd6vOZQbhej2br7K6cJr1Mvr1zhNN1MMgB.wYwiIoxwD5aBbKF030jLAqSLoew.i4qSqXg+yiyOYU8ws9/oqV.botnet.xyz,97,5.526315,1
a29d4ee4d44065a775c4cd475f7f4d.4f364a18ac00b3aef4eb.5b2725a12da24f276b4236e1e8.exfil.ru,87,4.129928,1
www.dear.biz,12,3.022055,0
docs.bipo.app,13,3.026987,0
blog.ibleable.info,18,3.19716,0
login.ieiblego.edu,18,3.19716,0
support.duor.org,16,3.030639,0
6ed901c3f8ebb2f6af46fbb2080ce4.86b7ef2db44f5d8ccdb38b.56117e30aee0ff079b95d36bc1.7befc231da3f741f70b34c7f4c.c2server.net,120,4.166465,1
static.wecu.tech,16,3.155639,0
cdn.vupi.dev,12,3.084963,0
auth.utbo.biz,13,3.085055,0
cdn.hoig.org,12,3.084963,0
static.oxod.io,14,3.039149,0
support.utubtu.biz,18,3.127987,0
cdn.sudo.gov,12,3.084963,0
JJY+uOEjWUI3TSS1Y0V9.aRuGs=lRlu+wx6NQ0Y0X2TQ/qup.1r4vkKwj5tTBW20qEApSmSWsU+4nr5W.botnet.xyz,91,5.463624,1
cdn.onto.co,11,2.481715,0
mXouv6bL5uEwpefnYSy1142HlT8kbY5a.6fzXKwz=37Mcg=qvU8M30.PgqMBCJ9L+2PaqWdy/JXEDJRjt.z3SvhvQnVHn0p6Bx31EqT.c2server.net,116,5.674719,1
support.upup.dev,16,3.07782,0
login.amen.info,15,3.189898,0
docs.ocbuho.tech,16,3.155639,0
oRbknDWHq4eu9+f/5EbGqbELj.3FVcl32jmBmMDX2Ci1aw0V4ZmxXDG5hBI.neq5JshbeeLjvGZ6M3sl5v5kvMJNh16a.evil-corp.net,106,5.476333,1
K2ww/WzAgBZVs10gw/QXuFIS+OWw6jns9eX.tsw+ORMniibU3lD989ydZ1h8=3.9sqdj4czqc/wxkx1t9PeYtlAHReM.botnet.xyz,102,5.451803,1
543856077e6ad157e4aa.32ed90ae684a272baed9d.c2server.net,55,4.099008,1
auth.necata.edu,15,3.056565,0
api.issarika.gov,16,3.155639,0
shop.hibowo.co,14,2.950212,0
login.maal.com,14,3.093069,0
fb7bbd6da3bdd6a8faa3ec4.f7517bd801a61885e52316d4d2.tunnel.io,60,4.216889,1
auth.peel.tech,14,3.039149,0
mail.wiwo.app,13,2.931209,0
cdn.cehuzauc.tech,17,3.146286,0
support.gogo.com,16,3.125,0
login.sitoso.org,16,3.0,0
login.kuci.info,15,3.189898,0
support.iosupuse.co,19,3.141635,0
blog.teye.edu,13,3.180833,0
shop.opve.org,13,3.026987,0
auth.nugoguan.info,18,3.19716,0
static.vivi.net,15,3.006239,0
assets.raatetic.com,19,3.181366,0
dR5werXho+w01zs/2Nd0hx2hFntzJs6b.+=vgjSOP0uN2FyLZRc4hP.4iIAYIUxmjBfuit+uJSOWGViTbe2R9.c2server.net,98,5.47942,1
cdn.ovigdinijo.gov,18,3.086049,0
igfawa.dev,10,3.121928,0
media.ceea.info,15,3.189898,0
login.oslessde.edu,18,3.19716,0
mail.eayeyaem.tech,18,3.127987,0
login.icov.biz,14,3.182006,0
ziueemkepe.com,14,3.093069,0
shop.opkeob.dev,15,3.189898,0
support.dososopo.info,21,3.105672,0
api.saseupce.co,15,3.106891,0
blog.mioadoible.io,18,3.127987,0
api.toleop.com,14,3.182006,0
media.opot.co,13,3.180833,0
auth.hivuuf.app,15,3.056565,0
auth.uecu.com,13,3.026987,0
login.deke.edu,14,3.182006,0
static.obta.biz,15,3.056565,0
9+IsNCDMR6+Vt1TjbdOmTmX=NoH3P.iSCe2q3g/zdsvR3c+SuuXlzHvEwj.GKhOFl=Jouz3D5c+ZdNaUCBX/LJ.c2server.net,99,5.550629,1
6cab7c6c0e72acdf110ba35e888.9c12990e7b8473ecea83a085a85889904d6.data-exfil.com,78,4.257273,1
e833dffb1230ac71991f6af51.9bbb61e5153ec1a2e1cd.8495d108e31927c8afe70b1756aa68ce457.data-exfil.com,97,4.268562,1
shop.iohezise.io,16,2.905639,0
69e1501f647d51745c7a33422.7559523534d429227e8c3017305.tunnel.io,63,4.117621,1
media.imgo.org,14,3.093069,0
auth.etka.dev,13,3.085055,0
dWyngxwM45NOO9evKzFyO7I.=6wYYf272bneo5M1nrZE2.mVAf4Oq61u4W345UyU+4G3AG1ST.tunnel.io,83,5.302826,1
login.loceig.net,16,3.125,0
mail.duducu.dev,15,3.139572,0
api.inwa.co,11,2.913977,0
support.ousousbu.biz,20,3.146439,0
auth.eted.dev,13,2.873141,0
3+Js62E0GBSN=kPHNyOGT+bQjgjB+u=0.ifjP6YUqIchQ/20PB3PJ2+2xdw8XxjvPIq0.tunnel.io,78,5.271051,1
GQAeNDHs0uymjnktyNz058FSL.lIc6iauKwzjLkD79h72vEOKE0N3pL.lFeDlIr1=3BJKgq=bOYGw=yNVm.botnet.xyz,93,5.519869,1
XDetBeqDTe1vsrw0jkAovHdwFHY2eCFa7U.6OWd/x7wX1gy5sgJtVgUEZj.tjAu+pMhYxT7Kz1kESUT58569tg.1J=qIzy+fsj6MF+xl4e=nb.exfil.ru,118,5.62914,1
support.supeilul.dev,20,3.446439,0
support.ettu.tech,17,3.146286,0
e9bf40f94931466cd7e45306e146f.9c6cea1faed8edaf2da7cb2cfaf544088.c5704a989287c85be87291da752.b89c12f674c61ba3ae59483e82cd.tunnel.io,130,4.248223,1
docs.adha.tech,14,3.093069,0
814b27bfbe41c11c64ffb.0df175ebc3ebfc1eee2812.c2server.net,57,3.895703,1
assets.ousis.info,17,3.051602,0
0a8ead4f8caf57a9da685bf7f0.342328dca09c697ef1006e07edd74.a4333f856e9e8578c6145864ee9739.2e28c6fc184a7cae98af3de4.evil-corp.net,126,4.268336,1
cdn.ictiarinpi.info,19,3.17611,0
assets.sekanana.info,20,3.084184,0
auth.erab.tech,14,3.093069,0
static.actahi.info,18,3.155222,0
imictifo.biz,12,2.918296,0
2K2BNNdI8GbOdgAGHjrfDIgu6MFjE7cwB.qYa67ZQymu=jsWUZl=RunPOSXEqt.9dSpXG618DqNOSV0h9caRn=LdmaD.c2server.net,104,5.565072,1
assets.rolesspe.tech,20,3.141446,0
www.igtoem.net,14,3.039149,0
shop.ivehi.info,15,3.189898,0
support.voov.dev,16,3.155639,0
blog.nega.io,12,3.084963,0
yepive.net,10,2.846439,0
docs.abca.co,12,2.688722,0
+0ESB/Bi32i7M2NyTfjOfkYGt9LvFI.l2ZLJSnYLIPcuOa0Hy=3q7EwEGHihvN/S.evil-corp.net,78,5.355539,1
TqArG7b8Au5Ynyn63/AROJVqwtePUbN.dC5v4B7UtyqSRcXysN1c4obk.data-exfil.com,71,5.371096,1
support.upua.com,16,3.155639,0
login.looc.tech,15,3.189898,0
login.piil.dev,14,3.182006,0
e2f5beabe3e5d1f6386154e7568b3.5cafcd8e4f6b27643e8e1a625e3.c4c45ade423a8122888ec44bd826341.110b194005665d6eaba2d.data-exfil.com,126,4.1791,1
support.oppe.dev,16,3.125,0
mail.velifo.io,14,3.039149,0
adtesoge.tech,13,3.180833,0
odossiviga.info,15,3.139572,0
lnf7=bAyW5gw9dEAA=D6x=4k32.JVpsS2EtGpQ/S1P6u=0bxgg.EiqW/BFu+MysCq6e66fEa.tunnel.io,82,5.325489,1
c4Hulqi2qjXgQaLPLmMT9.juBh2JxPSMCdko8BHfAw4I.b1Q1xwGG6ZENWOMOb+sdwBf.c2server.net,81,5.503129,1
auth.eaab.com,13,3.180833,0
cdn.estepu.dev,14,3.182006,0
support.osupot.net,18,3.04411,0
MGx6Hl+htxZinEZXp=1/7Xy6tUvnPTUnF.EptfC19Qa94XZAAEo15MT.data-exfil.com,70,5.157296,1
api.situpifihi.net,18,3.191612,0
api.inbi.org,12,3.022055,0
auth.uranceea.tech,18,3.086049,0
auth.elcu.app,13,3.085055,0
auth.oasasa.biz,15,3.106891,0
assets.meko.edu,15,3.139572,0
OHq1W/dNR+b45jfOTHHC+AdZKf2NNWZvO.rn5UjqmCrRWH6foZjeTh+ZOF4AI.X1lg3QwIw8wBljwbyakJyAofc=D1PO.exfil.ru,101,5.465108,1
blog.geop.edu,13,3.085055,0
owfuruusou.net,14,3.093069,0
static.ofho.co,14,3.039149,0
LUYPI9fvwDqE7z2SCzIkT2.Y+F27mRCO2QXMeia7SEywg2ys8z1jG.Eq+OYsgjkaVi6X5EtSJxR1.data-exfil.com,91,5.43764,1
eee8a28706d53d0764b369d35f4182e122.38f3f6e56c410c4dfbd3b.3c56ba240cf44fab626ecc9eae1abc278.c2server.net,103,4.201451,1
blog.ceue.tech,14,3.182006,0
bc0edac7d6d8f98517a5d885a443194b43.1f6d052694177cba7aa17dffa80.c2server.net,75,4.26516,1
rougacue.gov,12,3.084963,0
docs.ouful.info,15,3.189898,0
5c388897f4f85b495dc7da19f40fd5f3c.f0b7f63b195308e099950be9b0.b0db01949d873a53a9faa4fecb526e.exfil.ru,100,4.128996,1
auth.uginggi.biz,16,3.155639,0
api.ouwa.org,12,3.084963,0
cdn.emta.tech,13,3.085055,0
mail.gihaacci.app,17,2.984234,0
mail.rufeum.edu,15,3.189898,0
blog.tuub.gov,13,2.931209,0
mail.tomo.info,14,3.039149,0
cdn.urce.app,12,3.084963,0
docs.giorno.info,16,3.125,0
blog.hooa.tech,14,3.182006,0
psbQv5V5hfdUMVHR/xzcKP74udSaDkd.xLxK5QAgeLX/uQfBqE8c3Xl26T8GDR9/XI.exfil.ru,75,5.374964,1
bb025ded56e37a91f2a4e01cc1d09381.625b6d75dfcb3c46ab2cd140264.87b428e8e70dbe9bb1632a.tunnel.io,93,4.280157,1
assets.sasieakasa.info,22,2.954004,0
api.enlooa.org,14,3.182006,0
blog.nolo.tech,14,3.182006,0
media.gidoid.gov,16,3.030639,0
media.juut.edu,14,3.039149,0
login.unua.net,14,3.182006,0
/AWkKdKEk/uvnI4IEzNW7Tkxt.4v/t9piG4+/xiapKA0c766Sz=p.w0quhT+kXw67Bf2+zelTFeB4Jdd.w8gXbceBUlqY2j=U6+6th8H2ejvh.tunnel.io,119,5.44816,1
auth.viathi.gov,15,3.106891,0
cdn.ketiki.biz,14,3.182006,0
usansiya.info,13,3.085055,0
a6bb9447b41817cb42f57fe1fdc770.5ce13db3779053a333653fe976e0.tunnel.io,69,4.244101,1
assets.usitonse.co,18,3.080501,0
shop.gioa.org,13,3.026987,0
2646c3dc5f8a91f9dd9dc64d0.c9f3b27b8eccea4024444093e0d.cd536156af273e8a59e030acfe20b414.c37d34e2838e7f24dff1594e097bcf3eb.botnet.xyz,131,4.228922,1
login.nijo.app,14,3.093069,0
mail.ioiaduopme.io,18,3.127987,0
blog.odve.edu,13,3.085055,0
www.buve.app,12,2.855389,0
api.urnuet.net,14,3.093069,0
www.ceoc.net,12,2.688722,0
blog.ortion.info,16,3.125,0
media.duvaza.io,15,3.189898,0
pauako.dev,10,3.121928,0
s6gEmKJ3=tqPU0eFr7qWehEmQw/d0BaC.g6sma8cTTrs9Ftjd0FdJf.2KS5lC=M4PmGHqOPCNad3yDC.botnet.xyz,90,5.455362,1
blog.abpiul.io,14,3.093069,0
cdn.sisuouousos.dev,19,3.115834,0
docs.deemde.net,15,2.923231,0
mail.imdi.co,12,2.855389,0
support.pomoop.tech,19,3.195296,0
assets.ousge.dev,16,3.07782,0
media.noeaieac.info,19,3.181366,0
cdn.ococze.tech,15,2.973557,0
docs.tuanso.co,14,3.039149,0
shop.misi.app,13,2.873141,0
4ccf48792bd9f6a5ba6bbc0d0.5e8f40ede322dbd42c62d169.c2server.net,63,4.187309,1
assets.hugi.edu,15,3.189898,0
shop.anga.gov,13,3.085055,0
static.gozi.biz,15,3.189898,0
shop.yokogoop.com,17,2.939829,0
api.geud.io,11,3.095795,0
assets.itam.biz,15,3.056565,0
f4e4cdc215f7fa54604ab.b1ca2eae8c119a806e69bca931.c2server.net,61,4.179754,1
support.ethe.tech,17,3.175123,0
fodokoem.info,13,2.931209,0
docs.ildu.co,12,2.918296,0
cdn.iaacio.info,15,2.923231,0
api.otdo.info,13,3.026987,0
jG//+fgsHKYecXrycw9rM7u1.=MiwBaf1j0MiWKS0oiS6Lok5xs6gU0f/7jg.tunnel.io,70,5.128724,1
support.suus.biz,16,3.155639,0
www.sopeobza.co,15,3.139572,0
blog.bopo.tech,14,3.182006,0
auth.eaot.dev,13,3.085055,0
WDc6JqxQhnjm9KhQSfD68w9VDhMq.b2X=LNxtyy8VbHF8i35sFC5bF5cTRG2vI=.data-exfil.com,78,5.403428,1
cdn.kegome.com,14,3.093069,0
login.youg.info,15,3.056565,0
blog.ufdo.info,14,3.182006,0
ae2984692b30377f2e063cdf932.77c31df17aad8e21ebb7a76d0a1a599cf0.exfil.ru,71,4.20286,1
blog.nameor.org,15,3.189898,0
OdDs28saJj9BQG=X14NVsq8Nx.pDuSQ+Cm6tT=uqyssLayccpqqQTT5q8b+h.evil-corp.net,74,5.266905,1
www.obhinihuuf.biz,18,3.19716,0
media.peri.io,13,3.026987,0
login.umos.com,14,3.182006,0
auth.riioha.biz,15,3.189898,0
6ab8e7f3b1155384c71a09d2ca.766fc204e16579645e120f430fcde.6caa9002867a193779672841f9e1083.c1eb4d8db7201251e5a7830928ee.botnet.xyz,128,4.256308,1
api.huue.dev,12,3.084963,0
login.odil.com,14,3.039149,0
media.haha.gov,14,3.182006,0
support.oamesaou.app,20,3.146439,0
mail.lupuen.edu,15,3.189898,0
docs.cate.net,13,3.085055,0
44b1763818f276c99ab5a86ba34b090d58.f1cea5e6c4f8be89c3fc4f0e6.39e9dbb70e8c657566b08764565.ee4b23f33d2a1643c4fd9f17e3965.data-exfil.com,133,4.252945,1
www.alous.com,13,3.026987,0
static.orio.gov,15,3.189898,0
login.gofimofi.org,18,2.974938,0
mail.luiveemme.gov,18,3.19716,0
blog.ostaac.com,15,3.189898,0
Gs68MDeZWux55cF7ZLSn.u/zlCazRUjIv4g6Jo6My7ClDLrrehEAcQT.4Y/eCVK0Vac=pzXS2Mb1j3UXiCuHz.4gGifgQKi8ZFo8SyiWVdgG.botnet.xyz,119,5.631978,1
media.yode.net,14,3.182006,0
www.ugmu.app,12,2.688722,0
login.koyeelli.co,17,3.175123,0
api.oaon.biz,12,2.918296,0
shop.uche.edu,13,3.085055,0
b891c0bfb8186485b9281072e65.81f3bab6b031badba0a0de652686bb77.adda0b679719529b457a292.data-exfil.com,99,4.202933,1
blog.heed.net,13,3.180833,0
81e77c6ff183023fc2f650ad0108.7b39fee50aab19fcf673.exfil.ru,58,4.144462,1
061867250d7e6353d21cb.1dcaca119fd00cb9db59.tunnel.io,52,4.258253,1
9771c13695b908d870244d849f0ca.df6224d49981f435fab81025819.evil-corp.net,71,4.413124,1
0b7e4ef793de4a6656d7eef6bb461.d0db1585c48be1e4fc95d1b10.bb8da4418ae4b6f3aeb98.tunnel.io,87,4.134413,1
auth.tionox.net,15,3.189898,0
f9bf6217b62e69ddf84887b47.d9685f5a3b37152f351b42446b6f7173.d81d779c118dc461bf0fb5e75a1e6a477.tunnel.io,102,4.186947,1
static.gaot.co,14,2.896292,0
docs.biip.biz,13,3.026987,0
media.elocco.co,15,3.006239,0
blog.ruil.co,12,3.084963,0
shop.oado.edu,13,3.026987,0
assets.irco.org,15,3.189898,0
media.iaarovud.dev,18,3.19716,0
331bbb92949913e2c3b3e88ca353fd2d.fc897a1ed8b37ad72a7755bba2051.9a43fa8f03531f65b5e57979c30d.evil-corp.net,105,4.292864,1
gL8tMlK15/XUv51sEAiRDT2NZk.8iCifCRezQwy25RYD2/oQHI=dI.Ct=OMdRZ=zMINltE+ik414vbIoA0+YMk.botnet.xyz,97,5.325184,1
blog.coiaum.com,15,3.189898,0
mail.lamentia.com,17,3.175123,0
auth.faat.org,13,3.026987,0
wSmITPkjYCxROZEfz/3Ia08W1V=eT.A5I/U5fzdB2YLZy8==LEqaysr+WvA+EYvp.data-exfil.com,79,5.436321,1
docs.icsu.gov,13,3.085055,0
static.ugja.app,15,3.189898,0
static.eaan.dev,15,3.189898,0
assets.tube.com,15,3.189898,0
api.nesoarinpa.info,19,3.181366,0
docs.coco.info,14,2.753434,0
api.orpe.info,13,3.085055,0
avC0IK/209eeNGBPVOw6sX2IA.Jq=Bl/u7i=64u8oxOvxPZJS0r7zgIQLAJ.evil-corp.net,73,5.343599,1
auth.ousu.gov,13,3.026987,0
rPU2wws+Kjpo/6ULytfZT62Vsg8xZjvlYj.BsNjClgNMB0ueE=/C9cYDgA4vtna6oNX.tunnel.io,77,5.32141,1
support.noug.io,15,3.189898,0
auth.haje.co,12,3.084963,0
7e82f8d228a7f49f5aed.e75cf2ed72941403fe81d82a2111c455a9.826da52d766e271aded16.exfil.ru,86,4.039353,1
auth.itvofo.co,14,3.182006,0
docs.nuru.org,13,3.085055,0
assets.dusuod.com,17,3.146286,0
benobeieni.biz,14,2.645593,0
mentka.app,10,2.921928,0
assets.onid.app,15,3.189898,0
AehZD5NPAaJTQDXlsAIt/Qe2NuTIoVJX.SqmUSNyoZSRz7M97b3=ku==Jq=Jq.ZOnmrE9iwc9oHw8bPnPpV4u.c2server.net,98,5.43192,1
mail.edcepe.edu,15,3.106891,0
www.inghu.io,12,2.855389,0
static.ziuttait.gov,19,3.17611,0
mail.rademe.net,15,3.189898,0
cdn.tahe.co,11,3.095795,0
www.walo.info,13,2.777363,0
support.umpo.gov,16,3.155639,0
media.ounobedo.io,17,3.146286,0
af40e31d1849d82a5d5a030ded69ef.032faf80f5e269cefdfd.9b4bc3b9606e36071c68b7b4f26.cb9a0f84b21d169cdc2c8.exfil.ru,110,4.197931,1
support.orpaco.io,17,3.101881,0
7bUrTmysRYgXQ6JY0HW9n2Te0nf.2ao3sre=2FkAg8aR098JcD.g+qU4qV2WQcfbnmDDVbgAGxDi.data-exfil.com,91,5.328847,1
login.ueous.edu,15,3.189898,0
nupinu.info,11,2.663533,0
static.tehi.edu,15,3.189898,0
Azxmi5NXXOvEMSSW1ZQew.PplQT0Zx9q5iyGltTTKFspk.8pGtRKkfqIOtU1xI6L9GWffCY.c2server.net,84,5.395003,1
mail.tagiia.tech,16,3.155639,0
static.irceat.com,17,3.175123,0
api.umfiup.com,14,3.093069,0
bdfebc11aff4c57c489aad24.3017b5acadd4a1882c0f4.data-exfil.com,61,4.183141,1
ropoturi.biz,12,3.084963,0
login.iaea.gov,14,3.093069,0
e84YIZzRHdmq4Vm9bIj/ohmfhbrT20cLc.J8nJu=VZFZjXqmIJUNQrjmFavEdx.data-exfil.com,77,5.259658,1
/HRaOEiB3p+N4FbBCKQbpZZU.+60Bj2=tfd9bRvfUilAscYInO4Ys.2sz1YFpG5nzWFFP/fmfT.tunnel.io,84,5.409825,1
siwoto.com,10,2.846439,0
nZ/ceyxEgJOry2XSQ7A2EpB13H.hsIAmPIxzwXRKiv4qH2Udk5AmOCLf5.+BkeGdrqT/Yqe/5zwDxvUR4K.data-exfil.com,97,5.596983,1
media.itio.org,14,3.182006,0
api.nuness.edu,14,3.093069,0
assets.onobit.info,18,3.19716,0
hisiuthu.org,12,3.084963,0
cdn.duiveid.biz,15,3.139572,0
mimaumduso.co,13,3.026987,0
docs.idur.dev,13,3.180833,0
media.ousamem.com,17,3.146286,0
support.odovot.dev,18,3.169925,0
blog.taia.co,12,3.084963,0
manipo.biz,10,3.121928,0
docs.fogoed.gov,15,2.973557,0
assets.moat.edu,15,3.056565,0
d1a481597672c98dee50a928c.b4c334839b4e19c63ae219216517b5f1d8.c85d2fe591fdb58d63a5ac7c4513d1.evil-corp.net,105,4.319501,1
03976a90fb163100258299f354035be6d0.a471c514f1393f22ec644d.c2server.net,70,4.235318,1
shop.udotte.edu,15,3.106891,0
98404440850d1b7f94200.1df039c0d667cafae8c3c2.61fa1d5f3f897c73cb14cb5115590.8df64ec0f3530df6e22e69b4.botnet.xyz,110,4.270974,1
blog.deive.dev,14,3.039149,0
media.etruia.edu,16,3.07782,0
www.icbo.gov,12,2.855389,0
api.juyakuno.app,16,3.155639,0
qxK+c++MuMciC94MsX3XlR0MwX5/.X+R5JPbbrDmTe+CRiOs=XkYbK//rFY/l.T4/1=qxE0FJ5q7zWt836QKRYWSjRSYgXE.data-exfil.com,110,5.450652,1
VfVghzmatIiGpjP6u/rJjTiXk/.APEyWMSsXqVpJnUF7ZXeA.UHousBjB5nNN3sOEHxSJFl5r4g9I.GdT7AobRw1RrgY4NMZVoe9E.botnet.xyz,112,5.622817,1
support.piit.info,17,3.175123,0
docs.oaod.tech,14,3.039149,0
Y4Dwt5J+iFln8lpKR2Aps/.Vhz/+/soNq=m/RTVY+bB/uC/h.sOU7jqeyP1CMC3fMpltQIn8U4.eyYrc3VJfIjjWzjuOlYPr/1yO=Cv.data-exfil.com,118,5.580399,1
1DcQ/8UfwCrZnoPqspCghabi7a.CrW7O+ma5u+Q7ndwrDy7EuAvp+LYNI.data-exfil.com,72,5.300075,1
mail.zaat.net,13,3.026987,0
53017f6ceab08ad26d8d5d9cf0.cbe406326d1cb66cf055c.8d2151e98813ac3454450f.4787a3dd3fdeb0ba1cb083.botnet.xyz,105,4.259838,1
www.etugbu.org,14,3.039149,0
static.fipaan.io,16,3.155639,0
auth.hohe.dev,13,3.026987,0
docs.noua.info,14,3.182006,0
nsW/3gvbr2evZl8f7yRYFw+nnpU.Doora0waCrN7hAeSc9LWO./nYNihiMTRMPd9YkG4eWDH.botnet.xyz,83,5.451796,1
cdn.udou.gov,12,2.918296,0
assets.daab.org,15,3.139572,0
1f714535c9290956b3705030.b369fa6090a0cf976e13da54e5a471.14e94522c20ea407f3cafe60cd8.7cbdc1a757d82280aee216c2f6.tunnel.io,120,4.251416,1
support.ruis.org,16,3.07782,0
7DC3/XhdVpIbKRYmWs2UsbM21nkuWh=VII./j=A9O71gWE6ay8EwFTH0b8ZFRVU.fl6BtUJQARHyYZH6mdqCl.c2server.net,98,5.61161,1
mail.fafotait.info,18,3.04411,0
seofce.gov,10,2.921928,0
d2fe2fd2d949c42c68c73c68a1fd56f8.0e6182d3bf683f0947d261e363e933a6.c5acc36f72d2575ccc8972.f909adda9f01471a23efb44d13bb04.data-exfil.com,134,4.244903,1
blog.ubit.io,12,2.918296,0
royouria.io,11,2.663533,0
static.seme.edu,15,3.189898,0
docs.duhote.dev,15,3.189898,0
api.gehide.net,14,3.182006,0
